Date,FCXr1,FCXr4,FCXHigh/Low%,FCXVolNorm,DHYr1,XLFr1,SPYr1,GLDr1,RTPr1
1-Aug-08,-0.051423229,-0.159517673,0.120331492,0.619535345,-0.01,0.042788462,0.00541919,-0.013488524,5.07E-05
25-Jul-08,-0.067609454,-0.172384146,0.142826689,0.746936315,0.016949153,0.006289308,-0.004522015,-0.000543596,-0.01743462
18-Jul-08,-0.041767217,-0.117833034,0.153291439,0.848508997,-0.048387097,0.10298826,0.017845607,0.011324904,-0.068985507
11-Jul-08,-0.008284242,-0.126196269,0.11919212,0.814225486,-0.018987342,-0.062062062,-0.019322141,-0.012271937,-0.004708163
3-Jul-08,-0.065944459,-0.061587631,0.158570739,0.618747235,-0.033639144,-0.030097087,-0.010964912,-0.016134202,-0.053311193
27-Jun-08,-0.006152269,0.005185377,0.065404781,0.676062226,-0.026785714,-0.061503417,-0.029639763,-0.008055114,-0.044488518
20-Jun-08,-0.050851582,-0.001365304,0.087972509,0.62256723,-0.045454545,-0.059957173,-0.03356592,0.013535288,0.036684342
13-Jun-08,0.065042757,-0.007086487,0.067708783,0.761569834,-0.011235955,-0.000855798,-0.001027221,0.033873834,-0.012249348
6-Jun-08,0.000518538,0.013570303,0.077876583,0.593294166,0.017142857,-0.056138934,-0.028304577,-0.008370044,-0.031511387
30-May-08,-0.012629064,0.049714234,0.060329554,0.529488951,0,0.006095083,0.019257321,-0.005476451,-0.043564356
23-May-08,-0.056289258,0.001795179,0.106338579,0.783389765,-0.005681818,-0.062833206,-0.035669236,0.00219539,-0.089975312
16-May-08,0.08720014,0.090350338,0.115091805,0.695388236,0.005714286,0.01194605,0.027357811,0.021071509,0.098566734
9-May-08,0.036197043,0.075416627,0.065411387,0.638361063,-0.019607843,-0.062161185,-0.018651971,0.012253233,0.042880443
2-May-08,-0.057702171,0.02358622,0.124080709,0.830620572,0.025862069,0.025954765,0.014478211,-0.026830076,-0.032807508
